idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
73	102	1	17	0	56	8	-1	-1	33	2
74	103	0	33	12	13	2	-1	-1	39	4
75	104	0	30	12	8	2	-1	-1	39	4
76	105	0	33	12	13	2	-1	-1	39	4
77	106	0	33	12	13	2	-1	-1	39	4
78	107	0	33	12	13	2	-1	-1	39	4
79	108	0	33	12	13	2	-1	-1	39	4
80	111	0	15	19	20	16	-1	-1	39	4
81	112	0	15	19	20	16	-1	-1	39	4
82	113	0	17	19	24	8	-1	-1	39	4
83	114	0	14	19	18	16	-1	-1	39	4
84	115	0	16	19	22	8	-1	-1	39	4
85	116	0	19	19	29	8	-1	-1	39	4
86	117	0	15	19	20	16	-1	-1	39	4
87	118	0	14	19	18	16	-1	-1	39	4
88	119	0	18	19	27	8	-1	-1	39	4
89	120	0	22	2	56	2	-1	-1	39	4
90	121	0	33	12	13	2	-1	-1	39	4
91	122	0	33	12	13	2	-1	-1	39	4
92	123	0	22	2	56	2	-1	-1	39	4
93	124	0	22	2	56	2	-1	-1	39	4
94	125	1	48	19	10	64	20	-1	38	1
95	126	1	74	33	56	8	15	-1	36	1
96	127	0	22	2	56	2	-1	-1	39	4
97	128	0	22	2	56	2	-1	-1	39	4
98	129	0	22	2	56	2	-1	-1	39	4
99	130	0	22	2	56	2	-1	-1	39	4
100	131	0	22	2	56	2	-1	-1	39	4
101	140	0	22	2	56	2	-1	-1	39	4
102	141	0	22	2	56	2	-1	-1	39	4
103	142	0	52	21	56	1	-1	4	39	4
104	143	0	30	12	8	2	-1	-1	39	4
105	144	0	30	12	8	2	-1	-1	39	4
106	147	0	30	12	8	2	-1	-1	39	4
107	148	0	32	12	12	4	-1	-1	39	4
108	149	0	32	12	12	4	-1	-1	39	4
109	150	0	32	12	12	4	-1	-1	39	4
110	151	0	32	12	12	4	-1	-1	39	4
111	152	0	32	12	12	4	-1	-1	39	4
112	153	0	32	12	12	4	-1	-1	39	4
113	154	0	32	12	12	4	-1	-1	39	4
114	155	0	20	19	32	8	-1	-1	39	4
115	156	0	21	19	34	16	-1	-1	39	4
116	157	0	23	19	37	8	-1	-1	39	4
117	158	0	25	19	39	4	-1	-1	39	4
118	159	0	20	19	32	8	-1	-1	39	4
119	160	0	21	19	34	16	-1	-1	39	4
120	161	0	23	19	35	4	-1	-1	39	4
121	162	0	22	2	56	2	-1	-1	39	4
122	166	0	30	12	8	2	-1	-1	39	4
123	167	0	32	12	12	4	-1	-1	39	4
124	168	0	30	12	8	2	-1	-1	39	4
125	169	0	32	12	12	4	-1	-1	39	4
126	170	1	34	13	56	8	27	-1	14	1
127	171	1	42	15	56	4	-1	-1	1	1
128	172	1	42	15	56	4	-1	-1	1	1
129	173	0	22	2	56	2	-1	-1	39	4
130	174	0	22	2	56	2	-1	-1	39	4
131	175	0	22	2	56	2	-1	-1	39	4
132	179	1	28	5	56	4	-1	-1	5	1
133	180	1	28	5	56	4	-1	5	5	1
134	181	1	29	6	56	8	-1	-1	5	1
135	182	1	28	5	56	4	-1	-1	5	1
136	183	1	28	5	56	4	-1	-1	5	1
137	184	1	42	15	56	4	-1	-1	2	3
138	185	1	17	0	56	8	-1	-1	33	2
139	187	1	42	15	56	4	-1	-1	2	3
140	188	1	42	15	56	4	-1	-1	16	0
141	190	1	42	15	56	4	-1	-1	2	3
142	191	1	42	15	56	4	-1	-1	2	3
143	192	1	42	15	56	4	-1	-1	1	1
144	193	1	42	15	56	4	-1	-1	1	1
145	196	1	42	15	56	4	-1	-1	1	1
146	197	0	22	2	56	2	-1	-1	39	4
147	198	0	46	18	56	2	-1	-1	39	4
148	199	0	22	2	56	2	-1	-1	39	4
149	200	0	22	2	56	2	-1	-1	39	4
150	201	0	22	2	56	2	-1	-1	39	4
151	202	1	17	0	56	8	-1	-1	33	2
152	203	1	43	16	56	32	-1	6	33	2
153	526	0	22	2	56	2	-1	-1	39	4
154	530	0	22	2	56	2	-1	-1	39	4
155	532	1	42	15	56	4	-1	-1	1	1
156	533	1	74	33	56	8	15	-1	36	1
157	540	1	28	5	56	4	-1	-1	5	1
158	541	1	28	5	56	4	-1	-1	5	1
159	542	1	28	5	56	4	-1	-1	33	2
160	543	1	28	5	56	4	-1	-1	33	2
161	544	0	52	21	56	1	-1	-1	39	4
162	547	1	42	15	56	4	-1	-1	1	1
163	548	1	42	15	56	4	-1	-1	1	1
164	549	0	22	2	56	2	-1	-1	39	4
165	550	1	34	13	56	8	27	-1	1	1
166	551	0	22	2	56	2	-1	-1	39	4
167	552	0	52	21	56	1	-1	-1	39	4
168	553	1	74	33	56	8	15	-1	36	1
169	555	0	22	2	56	2	-1	-1	39	4
170	556	0	22	2	56	2	-1	-1	39	4
171	561	4	255	35	56	-1	-1	-1	39	4
172	562	4	255	35	56	-1	-1	-1	39	4
173	563	4	255	35	56	-1	-1	-1	39	4
174	566	4	255	35	56	-1	-1	-1	39	4
175	567	4	255	35	56	-1	-1	-1	39	4
176	569	1	42	15	56	4	-1	-1	1	1
177	570	1	42	15	56	4	-1	-1	4	1
178	571	0	22	2	56	2	-1	-1	39	4
179	572	1	17	0	56	8	-1	-1	22	1
180	573	1	42	15	56	4	-1	-1	1	1
181	576	1	26	20	56	8	25	-1	20	1
182	577	1	29	6	56	8	-1	-1	5	1
183	578	0	46	18	56	2	-1	6	39	4
184	579	0	22	2	56	2	-1	6	39	4
185	580	0	22	2	56	2	-1	-1	39	4
186	581	0	46	18	56	2	-1	6	39	4
187	582	1	28	5	56	4	-1	-1	5	1
188	583	1	42	15	56	4	-1	-1	33	2
189	584	1	17	0	56	8	-1	-1	22	1
190	585	0	22	2	56	2	-1	-1	39	4
191	586	0	22	2	56	2	-1	-1	39	4
192	590	1	17	0	56	8	-1	-1	0	1
193	591	1	17	0	56	8	-1	-1	0	1
194	592	0	22	2	56	2	-1	-1	39	4
195	593	0	22	2	56	2	-1	-1	39	4
196	594	1	42	15	56	4	-1	-1	1	1
197	595	0	22	2	56	2	-1	-1	39	4
198	596	0	22	2	56	2	-1	-1	39	4
199	598	0	22	2	56	2	-1	-1	39	4
200	599	1	42	15	56	4	-1	-1	1	1
201	601	1	42	15	56	4	-1	-1	1	1
202	602	1	42	15	56	4	-1	-1	1	1
203	603	1	42	15	56	4	-1	-1	1	1
204	607	1	63	27	56	32	-1	-1	23	1
205	608	1	63	27	56	32	-1	-1	28	1
206	609	1	63	27	56	32	-1	-1	28	1
207	610	1	63	27	56	32	-1	-1	24	1
208	611	1	63	27	56	32	-1	-1	24	1
209	623	1	63	27	56	32	-1	-1	28	1
210	624	1	63	27	56	32	-1	-1	28	1
211	625	1	63	27	56	32	-1	-1	28	1
212	626	1	63	27	56	32	-1	-1	28	1
213	627	1	62	30	56	32	-1	-1	32	3
214	628	1	62	30	56	32	-1	2	32	3
215	629	1	62	30	56	32	-1	-1	32	3
216	630	1	62	30	56	32	-1	-1	32	3
217	631	1	62	30	56	32	-1	2	32	3
218	632	0	52	21	56	1	-1	4	39	4
219	633	1	62	30	56	32	-1	6	32	3
220	634	1	62	30	56	32	-1	-1	32	3
221	635	1	63	27	56	32	-1	-1	28	1
222	636	1	63	27	56	32	-1	-1	28	1
