# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
79	100	0000ffffffffffff	0000ffffffff0000	0	0	39	4	19	3	2	100	0	1	1	0
80	101	0000ffffffffffff	0000ffffffff0000	0	0	39	4	19	3	2	101	0	1	1	0
81	102	1010ffffffffffff	0000ffffffff0000	0	4	33	2	0	7	3	102	1	2	3	0
82	103	2020030303ffffff	0000ffffffff0000	256	0	39	4	19	1	2	103	0	1	1	0
83	104	2222030303ffffff	0000ffffffff0000	256	0	39	4	19	1	2	104	0	1	1	0
84	105	2020030303ffffff	0000ffffffff0000	256	0	39	4	19	1	2	105	0	1	1	0
85	106	2020030303ff1212	0000ffffffff0000	256	0	39	4	19	1	2	106	0	1	1	0
86	107	2323040403ff1313	0000ffffffff0000	256	0	39	4	19	2	0	107	0	1	1	0
87	108	2020030303ff1212	0000ffffffff0000	256	0	39	4	19	1	2	108	0	1	1	0
88	109	ffff0404ffffffff	00000303ffff0000	16384	1024	12	1	11	7	3	109	1	2	3	0
89	110	ffff0404ffffffff	00000303ffff0000	49152	1024	12	1	11	7	3	110	1	2	3	0
90	112	2b2b030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	112	3	1	1	0
91	113	2a2a030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	113	3	1	1	0
92	114	2b2b030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	114	3	1	1	0
93	115	2a2a030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	115	3	1	1	0
94	116	2a2a030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	116	3	1	1	0
95	117	2b2b030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	117	3	1	1	0
96	118	2b2b030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	118	3	1	1	0
97	119	2a2a030304ffffff	00000303ffff0000	1024	4	19	1	10	5	1	119	3	1	1	0
98	120	2121030303ff1212	0000ffffffff0000	256	0	39	4	19	1	2	120	0	1	1	0
99	121	2020030303ffffff	0000ffffffff0000	256	0	39	4	19	1	2	121	0	1	1	0
100	122	2020030303ffffff	0000ffffffff0000	256	0	39	4	19	1	2	122	0	1	1	0
101	123	2121030303ff1212	0000ffffffff0000	256	0	39	4	19	1	2	123	0	1	1	0
102	124	2121030303ff1212	0000ffffffff0000	256	0	39	4	19	1	2	124	0	1	1	0
103	125	1010040404ffffff	0000ffffffff0000	1024	4	38	1	14	7	3	125	1	2	3	0
104	126	1010040404ffffff	0000ffffffff0000	1024	4	36	1	12	7	3	126	1	2	3	0
105	127	0000030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	127	0	1	1	0
106	128	0000030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	128	0	1	1	0
107	129	0000030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	129	0	1	1	0
108	130	0000030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	130	0	1	1	0
109	131	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	131	0	1	1	0
110	140	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	140	0	1	1	0
111	141	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	141	0	1	1	0
112	142	ffffffffffffffff	0000ffffffff0000	2097160	0	39	4	19	7	3	142	0	2	1	0
113	143	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	143	0	1	1	0
114	144	1f1f030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	144	0	1	1	0
115	145	ffff0404ffffffff	00000303ffff0000	16384	1024	12	1	11	7	3	145	1	2	3	0
116	146	ffff0404ffffffff	00000303ffff0000	49152	1024	12	1	11	7	3	146	1	2	3	0
117	147	1f1f030303ff1111	0000ffffffff0000	256	0	39	4	19	3	2	147	0	1	1	0
118	148	1f1f030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	148	0	1	1	0
119	149	1f1f030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	149	0	1	1	0
120	150	2424030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	150	0	1	1	0
121	151	2525030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	151	0	1	1	0
122	152	2626030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	152	0	1	1	0
123	153	2727030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	153	0	1	1	0
124	154	2828030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	154	0	1	1	0
125	156	2b2bffffffffffff	00000303ffff0000	0	4	13	1	10	6	1	156	3	1	1	0
126	157	2a2affffffffffff	00000303ffff0000	0	4	13	1	10	6	1	157	3	1	1	0
127	158	2929ffffffffffff	00000303ffff0000	0	4	13	1	10	6	1	158	3	1	1	0
128	159	2a2affffffffffff	00000303ffff0000	0	4	13	1	10	6	1	159	3	1	1	0
129	160	2b2bffffffffffff	00000303ffff0000	0	4	13	1	10	6	1	160	3	1	1	0
130	161	2929ffffffffffff	00000303ffff0000	0	4	13	1	10	6	1	161	3	1	1	0
131	162	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	162	0	1	1	0
132	166	1f1f030303ff1111	0000ffffffff0000	256	0	39	4	19	3	2	166	0	1	1	0
133	167	1f1f030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	167	0	1	1	0
134	168	1f1f030303ff1111	0000ffffffff0000	256	0	39	4	19	3	2	168	0	1	1	0
135	169	1f1f030303ff1111	0000ffffffff0000	393472	0	39	4	19	3	2	169	0	1	1	0
136	170	15150404ffff0404	0000ffffffff0000	0	4	14	1	3	7	3	170	1	2	3	0
137	171	1515ffffffffffff	0000ffffffff0000	0	4	1	1	3	7	3	171	1	2	3	0
138	172	1515ffffffffffff	0000ffffffff0000	0	4	1	1	3	7	3	172	1	2	3	0
139	173	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	173	0	1	1	0
140	174	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	174	0	1	1	0
141	175	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	175	0	1	1	0
142	179	ffff0000ffff0404	00000000ffff0000	4194304	1	5	1	6	7	3	179	1	2	2	0
143	180	ffffffffffff0404	0000ffffffff0000	4194304	1	5	1	6	7	3	180	1	2	2	0
144	181	0b0bffffffff0404	0000ffffffff0000	138412032	1	5	1	0	7	3	181	1	2	3	0
145	182	ffff0000ffff0404	0000ffffffff0000	0	1	5	1	6	7	3	182	1	2	2	0
146	183	ffffffffffff0404	0000ffffffff0000	4194304	0	5	1	6	7	3	183	1	2	1	0
147	184	15150404ffff0404	0000ffffffff0000	0	4	2	3	3	7	3	184	1	2	3	0
148	185	1010040404ffffff	0000ffffffff0000	1024	4	33	2	0	7	3	185	1	2	3	0
149	186	ffff111104ffffff	ffff020200000000	134218752	132	15	3	0	7	3	186	1	2	3	0
150	187	15150404ffff0404	0000ffffffff0000	0	4	2	3	3	7	3	187	1	2	3	0
151	188	ffffffffffffffff	0000ffffffff0000	0	4	16	0	3	7	3	188	1	2	3	0
152	189	15150404ffffffff	0000ffffffff0000	0	4	2	3	3	7	3	189	1	2	3	0
153	190	15150404ffff0404	0000ffffffff0000	0	4	2	3	3	7	3	190	1	2	3	0
154	191	15150404ffffffff	0000ffffffff0000	0	4	2	3	3	7	3	191	1	2	3	0
155	192	15150404ffffffff	0000ffffffff0000	0	4	1	1	3	7	3	192	1	2	3	0
156	193	15150404ffffffff	0000ffffffff0000	0	4	1	1	3	7	3	193	1	2	3	0
157	196	15150404ffffffff	0000ffffffff0000	0	4	1	1	3	7	3	196	1	2	3	0
158	197	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	197	0	1	1	0
159	198	1d1dffffffffffff	0000ffffffff0000	0	0	39	4	19	7	3	198	0	1	1	0
