# sm_110 40-B dependency rules (430 classes).
# Resolved to the sm_103 Blackwell dependency-rule table @ .rodata VMA
# 0x2262720 (installer sub_ABF590 enum 0x4001).  Binary-derived
# (ptxas 13.0.88).  sm_120 == sm_121 byte-identical; both resolve to sm_103
# (FP64 DFMA/DADD decoupled like sm_103 -- not coupled like sm_100;
# dependent-DFMA issue gap 0x50 not 0x10 -- verified empirically).
# Identical bytes to dependency_rules_sm_103.tsv.
idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
99	121	0	33	12	13	2	-1	-1	39	4
100	122	0	33	12	13	2	-1	-1	39	4
101	123	0	22	2	56	2	-1	-1	39	4
102	124	0	22	2	56	2	-1	-1	39	4
103	125	1	48	19	10	64	-1	-1	38	1
104	126	1	74	33	56	8	15	-1	36	1
105	127	0	22	2	56	2	-1	-1	39	4
106	128	0	22	2	56	2	-1	-1	39	4
107	129	0	22	2	56	2	-1	-1	39	4
108	130	0	22	2	56	2	-1	-1	39	4
109	131	0	22	2	56	2	-1	-1	39	4
110	140	0	22	2	56	2	-1	-1	39	4
111	141	0	22	2	56	2	-1	-1	39	4
112	142	0	52	21	56	1	-1	4	39	4
113	143	0	30	12	8	2	-1	-1	39	4
114	144	0	30	12	8	2	-1	-1	39	4
115	145	1	46	19	14	4	-1	-1	12	1
116	146	1	46	19	14	4	-1	-1	12	1
117	147	0	30	12	8	2	-1	-1	39	4
118	148	0	32	12	12	4	-1	-1	39	4
119	149	0	32	12	12	4	-1	-1	39	4
120	150	0	32	12	12	4	-1	-1	39	4
121	151	0	32	12	12	4	-1	-1	39	4
122	152	0	32	12	12	4	-1	-1	39	4
123	153	0	32	12	12	4	-1	-1	39	4
124	154	0	32	12	12	4	-1	-1	39	4
125	156	0	59	19	38	8	-1	-1	39	4
126	157	0	24	19	36	6	-1	-1	39	4
127	158	0	25	19	39	4	-1	-1	39	4
128	159	0	21	19	31	4	-1	-1	39	4
129	160	0	56	19	33	6	-1	-1	39	4
130	161	0	23	19	35	4	-1	-1	39	4
131	162	0	22	2	56	2	-1	-1	39	4
132	166	0	30	12	8	2	-1	-1	39	4
133	167	0	32	12	12	4	-1	-1	39	4
134	168	0	30	12	8	2	-1	-1	39	4
135	169	0	32	12	12	4	-1	-1	39	4
136	170	1	34	13	56	8	27	-1	14	1
137	171	1	42	15	56	4	-1	-1	1	1
138	172	1	42	15	56	4	-1	-1	1	1
139	173	0	22	2	56	2	-1	-1	39	4
140	174	0	22	2	56	2	-1	-1	39	4
141	175	0	22	2	56	2	-1	-1	39	4
142	179	1	28	5	56	4	-1	5	5	1
143	180	1	28	5	56	4	-1	5	5	1
144	181	1	29	6	56	8	-1	5	5	1
145	182	1	28	5	56	4	-1	-1	5	1
146	183	1	28	5	56	4	-1	5	5	1
147	184	1	42	15	56	4	-1	-1	2	3
148	185	1	17	0	56	8	-1	-1	33	2
149	186	1	11	14	56	1	-1	-1	15	3
150	187	1	42	15	56	4	-1	-1	2	3
151	188	1	42	15	56	4	-1	-1	16	0
152	189	1	42	15	56	4	-1	-1	2	3
153	190	1	42	15	56	4	-1	-1	2	3
154	191	1	42	15	56	4	-1	-1	2	3
155	192	1	42	15	56	4	-1	-1	1	1
156	193	1	42	15	56	4	-1	-1	1	1
157	196	1	42	15	56	4	-1	-1	1	1
158	197	0	22	2	56	2	-1	-1	39	4
159	198	0	46	18	56	2	-1	-1	39	4
160	199	0	22	2	56	2	-1	-1	39	4
161	200	0	22	2	56	2	-1	-1	39	4
162	201	0	22	2	56	2	-1	-1	39	4
163	202	1	17	0	56	8	-1	-1	33	2
164	203	1	43	16	56	32	-1	6	33	2
165	224	4	255	35	56	-1	-1	-1	39	4
166	225	4	255	35	56	-1	-1	-1	39	4
167	226	4	255	35	56	-1	-1	-1	39	4
168	227	4	255	35	56	-1	-1	-1	39	4
169	228	4	255	35	56	-1	-1	-1	39	4
170	229	4	255	35	56	-1	-1	-1	39	4
171	230	4	255	35	56	-1	-1	-1	39	4
172	231	4	255	35	56	-1	-1	-1	39	4
173	236	4	255	35	56	-1	-1	-1	39	4
174	237	4	255	35	56	-1	-1	-1	39	4
175	238	4	255	35	56	-1	-1	-1	39	4
176	239	4	255	35	56	-1	-1	-1	39	4
177	240	4	255	35	56	-1	-1	-1	39	4
178	241	4	255	35	56	-1	-1	-1	39	4
179	243	4	255	35	56	-1	-1	-1	39	4
180	246	4	255	35	56	-1	-1	-1	39	4
181	247	4	255	35	56	-1	-1	-1	39	4
182	249	4	255	35	56	-1	-1	-1	39	4
183	251	4	255	35	56	-1	-1	-1	39	4
184	253	4	255	35	56	-1	-1	-1	39	4
185	255	4	255	35	56	-1	-1	-1	39	4
186	256	4	255	35	56	-1	-1	-1	39	4
