ori_opcode	latency_cycles	mnemonic_best_effort	note
241		UTMACMDFLUSH	default (ALU=6 / MEM=300 by property bit 0x40)
242		UTMALDG	default (ALU=6 / MEM=300 by property bit 0x40)
243		UTMAPF	default (ALU=6 / MEM=300 by property bit 0x40)
244		UTMREDG	default (ALU=6 / MEM=300 by property bit 0x40)
245		UTMALST	default (ALU=6 / MEM=300 by property bit 0x40)
246		VHMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
247		VIADD	default (ALU=6 / MEM=300 by property bit 0x40)
248		VIADDMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
249		VIMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
250		VIMNMX3	default (ALU=6 / MEM=300 by property bit 0x40)
251		WARPGROUP	default (ALU=6 / MEM=300 by property bit 0x40)
252		SM90_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
253		SM100_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
254		CREDUX	default (ALU=6 / MEM=300 by property bit 0x40)
255		FADD2	default (ALU=6 / MEM=300 by property bit 0x40)
256		FFMA2	default (ALU=6 / MEM=300 by property bit 0x40)
257		FMNMX3	default (ALU=6 / MEM=300 by property bit 0x40)
258		FMUL2	default (ALU=6 / MEM=300 by property bit 0x40)
259		LDTM	default (ALU=6 / MEM=300 by property bit 0x40)
260		UGETNEXTWORKID	default (ALU=6 / MEM=300 by property bit 0x40)
261		UTCBAR_1CTA	default (ALU=6 / MEM=300 by property bit 0x40)
262		UTCBAR_2CTA	default (ALU=6 / MEM=300 by property bit 0x40)
263		UTCCP_1CTA	default (ALU=6 / MEM=300 by property bit 0x40)
264		UTCCP_2CTA	default (ALU=6 / MEM=300 by property bit 0x40)
265		UTCMMA_1CTA	default (ALU=6 / MEM=300 by property bit 0x40)
266		UTCMMA_2CTA	default (ALU=6 / MEM=300 by property bit 0x40)
267		UTCSHIFT_1CTA	default (ALU=6 / MEM=300 by property bit 0x40)
268		UTCSHIFT_2CTA	default (ALU=6 / MEM=300 by property bit 0x40)
269		VIRTCOUNT	default (ALU=6 / MEM=300 by property bit 0x40)
270		TCATOMSWS	default (ALU=6 / MEM=300 by property bit 0x40)
271		TCLDSWS	default (ALU=6 / MEM=300 by property bit 0x40)
272		TCSTSWS	default (ALU=6 / MEM=300 by property bit 0x40)
273		QFMA4	default (ALU=6 / MEM=300 by property bit 0x40)
274		QADD4	default (ALU=6 / MEM=300 by property bit 0x40)
275		QMUL4	default (ALU=6 / MEM=300 by property bit 0x40)
276		MEMSET	default (ALU=6 / MEM=300 by property bit 0x40)
277		ACQSHMINIT	default (ALU=6 / MEM=300 by property bit 0x40)
278		STTM	default (ALU=6 / MEM=300 by property bit 0x40)
279		FENCE_T	default (ALU=6 / MEM=300 by property bit 0x40)
280		SM100_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
281		SM104_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
282		IADD	default (ALU=6 / MEM=300 by property bit 0x40)
283		UVIADD	default (ALU=6 / MEM=300 by property bit 0x40)
284		IMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
285		IMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
