opcode_id	mnemonic	rot13_stored	sm_gen	encoding_slot	encoding_status	pipeline_flags_sm7x	pipeline_flags_sm10x	in_opcode_to_encoding_table
199	SM86_LAST	FZ86_YNFG	sm_86	0	default-slot			yes
200	SM89_FIRST	FZ89_SVEFG	sm_89	0	default-slot			yes
201	QMMA_16816	DZZN_16816	sm_89	0	default-slot			yes
202	QMMA_16832	DZZN_16832	sm_89	96	isel-slot			yes
203	QMMA_SP_16832	DZZN_FC_16832	sm_89	0	default-slot			yes
204	QMMA_SP_12864	DZZN_FC_12864	sm_89	169	isel-slot			yes
205	SM89_LAST	FZ89_YNFG	sm_89	178	isel-slot			yes
206	SM90_FIRST	FZ90_SVEFG	sm_90	197	isel-slot			yes
207	ACQBLK	NPDOYX	sm_90	239	isel-slot			yes
208	CGABAR_ARV	PTNONE_NEI	sm_90	154	isel-slot			yes
209	CGABAR_GET	PTNONE_TRG	sm_90	0	default-slot			yes
210	CGABAR_SET	PTNONE_FRG	sm_90	195	isel-slot			yes
211	CGABAR_WAIT	PTNONE_JNVG	sm_90	175	isel-slot			yes
212	CGAERRBAR	PTNREEONE	sm_90	355	sentinel-unencoded			yes
213	CREATEPOLICY	PERNGRCBYVPL	sm_90	355	sentinel-unencoded			yes
214	CVTA	PIGN	sm_90	355	sentinel-unencoded			yes
215	DMMA	QZZN	sm_90	355	sentinel-unencoded			yes
216	ELECT	RYRPG	sm_90	355	sentinel-unencoded			yes
217	ENDCOLLECTIVE	RAQPBYYRPGVIR	sm_90	309	isel-slot			yes
218	FENCE_G	SRAPR_T	sm_90	170	isel-slot			yes
219	FENCE_S	SRAPR_F	sm_90	355	sentinel-unencoded			yes
220	FMNMX	SZAZK	sm_90	355	sentinel-unencoded			yes
221	GMMA	TZZN	sm_90	0	default-slot			yes
222	LDCU	YQPH	sm_90		no-encoding-entry			no
223	LEPC	YRCP	sm_90		no-encoding-entry			no
224	MAPA	ZNCN	sm_90		no-encoding-entry			no
225	PREEXIT	CERRKVG	sm_90		no-encoding-entry			no
226	R2UR_H	E2HE_U	sm_90		no-encoding-entry			no
227	REDAS	ERQNF	sm_90		no-encoding-entry			no
228	SETMAXREG	FRGZNKERT	sm_90		no-encoding-entry			no
229	SETSMEMSIZE	FRGFZRZFVMR	sm_90		no-encoding-entry			no
230	STAS	FGNF	sm_90		no-encoding-entry			no
231	STSM	FGFZ	sm_90		no-encoding-entry			no
232	SYNCS_BASIC	FLAPF_ONFVP	sm_90		no-encoding-entry			no
233	SYNCS_LD_UNIFM	FLAPF_YQ_HAVSZ	sm_90		no-encoding-entry			no
234	UBLKCP	HOYXPC	sm_90		no-encoding-entry			no
235	UBLKRED	HOYXERQ	sm_90		no-encoding-entry			no
236	UBLKPF	HOYXCS	sm_90		no-encoding-entry			no
237	UCVTA	HPIGN	sm_90		no-encoding-entry			no
238	ULEPC	HYRCP	sm_90		no-encoding-entry			no
239	UMAPA	HZNCN	sm_90		no-encoding-entry			no
240	UTMACCTL	HGZNPPGY	sm_90		no-encoding-entry			no
241	UTMACMDFLUSH	HGZNPZQSYHFU	sm_90		no-encoding-entry			no
242	UTMALDG	HGZNYQT	sm_90		no-encoding-entry			no
243	UTMAPF	HGZNCS	sm_90		no-encoding-entry			no
244	UTMREDG	HGZERQT	sm_90		no-encoding-entry			no
245	UTMALST	HGZNYFG	sm_90		no-encoding-entry			no
246	VHMNMX	IUZAZK	sm_90		no-encoding-entry			no
247	VIADD	IVNQQ	sm_90		no-encoding-entry			no
248	VIADDMNMX	IVNQQZAZK	sm_90		no-encoding-entry			no
249	VIMNMX	IVZAZK	sm_90		no-encoding-entry			no
250	VIMNMX3	IVZAZK3	sm_90		no-encoding-entry			no
251	WARPGROUP	JNECTEBHC	sm_90		no-encoding-entry			no
252	SM90_LAST	FZ90_YNFG	sm_90		no-encoding-entry			no
253	SM100_FIRST	FZ100_SVEFG	sm_100		no-encoding-entry			no
254	CREDUX	PERQHK	sm_100		no-encoding-entry			no
255	FADD2	SNQQ2	sm_100		no-encoding-entry			no
256	FFMA2	SSZN2	sm_100		no-encoding-entry			no
257	FMNMX3	SZAZK3	sm_100		no-encoding-entry			no
258	FMUL2	SZHY2	sm_100		no-encoding-entry			no
259	LDTM	YQGZ	sm_100		no-encoding-entry			no
260	UGETNEXTWORKID	HTRGARKGJBEXVQ	sm_100		no-encoding-entry			no
261	UTCBAR_1CTA	HGPONE_1PGN	sm_100		no-encoding-entry			no
262	UTCBAR_2CTA	HGPONE_2PGN	sm_100		no-encoding-entry			no
263	UTCCP_1CTA	HGPPC_1PGN	sm_100		no-encoding-entry			no
264	UTCCP_2CTA	HGPPC_2PGN	sm_100		no-encoding-entry			no
265	UTCMMA_1CTA	HGPZZN_1PGN	sm_100		no-encoding-entry			no
266	UTCMMA_2CTA	HGPZZN_2PGN	sm_100		no-encoding-entry			no
267	UTCSHIFT_1CTA	HGPFUVSG_1PGN	sm_100		no-encoding-entry			no
268	UTCSHIFT_2CTA	HGPFUVSG_2PGN	sm_100		no-encoding-entry			no
269	VIRTCOUNT	IVEGPBHAG	sm_100		no-encoding-entry			no
270	TCATOMSWS	GPNGBZFJF	sm_100		no-encoding-entry			no
271	TCLDSWS	GPYQFJF	sm_100		no-encoding-entry			no
272	TCSTSWS	GPFGFJF	sm_100		no-encoding-entry			no
273	QFMA4	DSZN4	sm_100		no-encoding-entry			no
274	QADD4	DNQQ4	sm_100		no-encoding-entry			no
275	QMUL4	DZHY4	sm_100		no-encoding-entry			no
276	MEMSET	ZRZFRG	sm_100		no-encoding-entry			no
277	ACQSHMINIT	NPDFUZVAVG	sm_100		no-encoding-entry			no
278	STTM	FGGZ	sm_100		no-encoding-entry			no
279	FENCE_T	SRAPR_G	sm_100		no-encoding-entry			no
280	SM100_LAST	FZ100_YNFG	sm_100		no-encoding-entry			no
281	SM104_FIRST	FZ104_SVEFG	sm_104		no-encoding-entry			no
282	IADD	VNQQ	sm_104		no-encoding-entry			no
283	UVIADD	HIVNQQ	sm_104		no-encoding-entry			no
284	IMNMX	VZAZK	sm_104		no-encoding-entry			no
285	IMNMX	VZAZK	sm_104		no-encoding-entry			no
286	UIMNMX	HVZAZK	sm_104		no-encoding-entry			no
287	UVIMNMX	HIVZAZK	sm_104		no-encoding-entry			no
288	ISETP	VFRGC	sm_104		no-encoding-entry			no
289	UISETP	HVFRGC	sm_104		no-encoding-entry			no
290	MOV	ZBI	sm_104		no-encoding-entry			no
291	UMOV	HZBI	sm_104		no-encoding-entry			no
292	SEL	FRY	sm_104		no-encoding-entry			no
293	USEL	HFRY	sm_104		no-encoding-entry			no
294	UFADD	HSNQQ	sm_104		no-encoding-entry			no
295	UFSEL	HSFRY	sm_104		no-encoding-entry			no
296	UFFMA	HSSZN	sm_104		no-encoding-entry			no
297	UFMUL	HSZHY	sm_104		no-encoding-entry			no
298	UFSET	HSFRG	sm_104		no-encoding-entry			no
299	UFSETP	HSFRGC	sm_104		no-encoding-entry			no
300	UI2I	HV2V	sm_104		no-encoding-entry			no
301	UI2IP	HV2VC	sm_104		no-encoding-entry			no
302	UF2F	HS2S	sm_104		no-encoding-entry			no
303	UFRND	HSEAQ	sm_104		no-encoding-entry			no
304	UF2I	HS2V	sm_104		no-encoding-entry			no
305	UF2IP	HS2VC	sm_104		no-encoding-entry			no
306	UI2F	HV2S	sm_104		no-encoding-entry			no
307	UI2FP	HV2SC	sm_104		no-encoding-entry			no
308	UIABS	HVNOF	sm_104		no-encoding-entry			no
309	CS2UR	PF2HE	sm_104		no-encoding-entry			no
310	UF2FP	HS2SC	sm_104		no-encoding-entry			no
311	MXQMMA_SF_16832	ZKDZZN_FS_16832	sm_104		no-encoding-entry			no
312	OMMA_16864	BZZN_16864	sm_104		no-encoding-entry			no
313	OMMA_SP_168128	BZZN_FC_168128	sm_104		no-encoding-entry			no
314	QMMA_16816	DZZN_16816	sm_104		no-encoding-entry			no
315	QMMA_16832	DZZN_16832	sm_104		no-encoding-entry			no
316	QMMA_SP_16832	DZZN_FC_16832	sm_104		no-encoding-entry			no
317	QMMA_SP_12864	DZZN_FC_12864	sm_104		no-encoding-entry			no
318	QMMA_SF_16832	DZZN_FS_16832	sm_104		no-encoding-entry			no
319	QMMA_SF_SP_16864	DZZN_FS_FC_16864	sm_104		no-encoding-entry			no
320	SM104_LAST	FZ104_YNFG	sm_104		no-encoding-entry			no
321	LAST	YNFG	sentinel		no-encoding-entry			no
