va	name	rot13_stored	is_rot13	region
0x21B7620	URFTradeoffConvertLivenessSpanToRefsRatioThreshold	HESGenqrbssPbairegYvirarffFcnaGbErsfEngvbGuerfubyq	True	OCG knobs (ctor_005)
0x21B7660	URFTradeoffConvertCostLiveCheckLimit	HESGenqrbssPbairegPbfgYvirPurpxYvzvg	True	OCG knobs (ctor_005)
0x21B7690	URFTradeoffConvertCostLimit	HESGenqrbssPbairegPbfgYvzvg	True	OCG knobs (ctor_005)
0x21B76C0	URFTradeoffBudgetScale	HESGenqrbssOhqtrgFpnyr	True	OCG knobs (ctor_005)
0x21B76E0	URFSelectMaxRRegLimit	HESFryrpgZnkEErtYvzvg	True	OCG knobs (ctor_005)
0x21B7700	URFRegTgtSelectSlack	HESErtGtgFryrpgFynpx	True	OCG knobs (ctor_005)
0x21B7720	URFPromoteJtCond	HESCebzbgrWgPbaq	True	OCG knobs (ctor_005)
0x21B7740	URFModel64bCost	HESZbqry64oPbfg	True	OCG knobs (ctor_005)
0x21B7760	URFMaxRRegLimit	HESZnkEErtYvzvg	True	OCG knobs (ctor_005)
0x21B7780	URFConvertEachProfitableCandidate	HESPbairegRnpuCebsvgnoyrPnaqvqngr	True	OCG knobs (ctor_005)
0x21B77C0	URFConvertAllHighPressureCandidates	HESPbairegNyyUvtuCerffherPnaqvqngrf	True	OCG knobs (ctor_005)
0x21B77F0	URFCandidateBudget	HESPnaqvqngrOhqtrg	True	OCG knobs (ctor_005)
0x21B7810	UregMode	HertZbqr	True	OCG knobs (ctor_005)
0x21B7830	UnrollVariableBounds	HaebyyInevnoyrObhaqf	True	OCG knobs (ctor_005)
0x21B7850	UnrollUnknownInstLimit	HaebyyHaxabjaVafgYvzvg	True	OCG knobs (ctor_005)
0x21B7870	UnrollUnknownCount	HaebyyHaxabjaPbhag	True	OCG knobs (ctor_005)
0x21B78A0	UnrollTex3DPercentSavedThreshold	HaebyyGrk3QCrepragFnirqGuerfubyq	True	OCG knobs (ctor_005)
0x21B78D0	UnrollSmallLoopLimit	HaebyyFznyyYbbcYvzvg	True	OCG knobs (ctor_005)
0x21B78F0	UnrollProfiledColdInstsScale	HaebyyCebsvyrqPbyqVafgfFpnyr	True	OCG knobs (ctor_005)
0x21B7920	UnrollPregThreshold	HaebyyCertGuerfubyq	True	OCG knobs (ctor_005)
0x21B7940	UnrollMultiBlockLoops	HaebyyZhygvOybpxYbbcf	True	OCG knobs (ctor_005)
0x21B7960	UnrollInstLimit	HaebyyVafgYvzvg	True	OCG knobs (ctor_005)
0x21B7980	UnrollFullInstLimit	HaebyyShyyVafgYvzvg	True	OCG knobs (ctor_005)
0x21B79A0	UnrollFlexableFullLimit	HaebyySyrknoyrShyyYvzvg	True	OCG knobs (ctor_005)
0x21B79E0	UnrollExtraInstPerPercentSaving	HaebyyRkgenVafgCreCrepragFnivat	True	OCG knobs (ctor_005)
0x21B7A10	UnrollBudget	HaebyyOhqtrg	True	OCG knobs (ctor_005)
0x21B7A30	UnbalancedSyncBudget	HaonynaprqFlapOhqtrg	True	OCG knobs (ctor_005)
0x21B7A50	TrampolineBudget	GenzcbyvarOhqtrg	True	OCG knobs (ctor_005)
0x21B7A70	TrackOustandingLLDep	GenpxBhfgnaqvatYYQrc	True	OCG knobs (ctor_005)
0x21B7A90	TraceUninitializedRegs	GenprHavavgvnyvmrqErtf	True	OCG knobs (ctor_005)
0x21B7AB0	TraceSrcLivenessEarly	GenprFepYvirarffRneyl	True	OCG knobs (ctor_005)
0x21B7AD0	TraceSrcLiveness	GenprFepYvirarff	True	OCG knobs (ctor_005)
0x21B7AF0	TraceRegCount	GenprErtPbhag	True	OCG knobs (ctor_005)
0x21B7B10	TracePhaseLevel	GenprCunfrYriry	True	OCG knobs (ctor_005)
0x21B7B30	TracePhaseFile	GenprCunfrSvyr	True	OCG knobs (ctor_005)
0x21B7B48	TracePhase	GenprCunfr	True	OCG knobs (ctor_005)
0x21B7B60	TLDUsesTLD4CompatibleSampler	GYQHfrfGYQ4PbzcngvoyrFnzcyre	True	OCG knobs (ctor_005)
0x21B7B88	TexToInstRatio	GrkGbVafgEngvb	True	OCG knobs (ctor_005)
0x21B7BB0	TexHeavyRatioHigh	GrkUrnilEngvbUvtu	True	OCG knobs (ctor_005)
0x21B7BD0	TexHeavyMaxWarpRegRatio	GrkUrnilZnkJnecErtEngvb	True	OCG knobs (ctor_005)
0x21B7C00	TexBatchMaxCycles	GrkOngpuZnkPlpyrf	True	OCG knobs (ctor_005)
0x21B7C20	SyncTermBlockInstCountThreshold	FlapGrezOybpxVafgPbhagGuerfubyq	True	OCG knobs (ctor_005)
0x21B7C50	SyncPbrkOldLoop	FlapCoexByqYbbc	True	OCG knobs (ctor_005)
0x21B7C70	SyncCutGraphBudget	FlapPhgTencuOhqtrg	True	OCG knobs (ctor_005)
0x21B7C90	SyncAtBra	FlapNgOen	True	OCG knobs (ctor_005)
0x21B7CB0	SwitchOptExtendedPatternMatch	FjvgpuBcgRkgraqrqCnggreaZngpu	True	OCG knobs (ctor_005)
0x21B7CE0	SwitchOptBudget	FjvgpuBcgOhqtrg	True	OCG knobs (ctor_005)
0x21B7D00	SuppressPairing	FhccerffCnvevat	True	OCG knobs (ctor_005)
0x21B7D20	SupportsPIXBAR	FhccbegfCVKONE	True	OCG knobs (ctor_005)
0x21B7D40	SupportsOFFDECKYIELDShortStall	FhccbegfBSSQRPXLVRYQFubegFgnyy	True	OCG knobs (ctor_005)
0x21B7D70	SupportsNewGroupingAndReuse	FhccbegfArjTebhcvatNaqErhfr	True	OCG knobs (ctor_005)
0x21B7DA0	SupportsNewGrouping	FhccbegfArjTebhcvat	True	OCG knobs (ctor_005)
0x21B7DC0	StraightenControlFlow	FgenvtugraPbagebySybj	True	OCG knobs (ctor_005)
0x21B7DE0	StageAndFenceTrace	FgntrNaqSraprGenpr	True	OCG knobs (ctor_005)
0x21B7E00	StageAndFenceMaxLoops	FgntrNaqSraprZnkYbbcf	True	OCG knobs (ctor_005)
0x21B7E20	SplitLiveRangeRegionMode	FcyvgYvirEnatrErtvbaZbqr	True	OCG knobs (ctor_005)
0x21B7E60	SplitLiveRangePressureThreshold	FcyvgYvirEnatrCerffherGuerfubyq	True	OCG knobs (ctor_005)
0x21B7EA0	SplitLiveRangeLowPressureRefCountLimit	FcyvgYvirEnatrYbjCerffherErsPbhagYvzvg	True	OCG knobs (ctor_005)
0x21B7EE0	SplitLiveRangeHighPressureThresholdSlack	FcyvgYvirEnatrUvtuCerffherGuerfubyqFynpx	True	OCG knobs (ctor_005)
0x21B7F20	SplitLiveRangeBudget	FcyvgYvirEnatrOhqtrg	True	OCG knobs (ctor_005)
0x21B7F40	SplitLiveRange	FcyvgYvirEnatr	True	OCG knobs (ctor_005)
0x21B7F60	SplitIntVecInst	FcyvgVagIrpVafg	True	OCG knobs (ctor_005)
0x21B7F80	SplitFp32VecInst	FcyvgSc32IrpVafg	True	OCG knobs (ctor_005)
0x21B7FA0	SplitFp16VecInst	FcyvgSc16IrpVafg	True	OCG knobs (ctor_005)
0x21B7FC0	SpeculativelyHoistTexMinNumTexInstsInSourceBatch	FcrphyngvirylUbvfgGrkZvaAhzGrkVafgfVaFbheprOngpu	True	OCG knobs (ctor_005)
0x21B8000	SpeculativelyHoistTexMaxNumTexInstsInTarget	FcrphyngvirylUbvfgGrkZnkAhzGrkVafgfVaGnetrg	True	OCG knobs (ctor_005)
0x21B8040	SpeculativelyHoistTexMaxNumTexInstsInSource	FcrphyngvirylUbvfgGrkZnkAhzGrkVafgfVaFbhepr	True	OCG knobs (ctor_005)
0x21B8080	SpeculativelyHoistTexMaxNumTexInstsInBatch	FcrphyngvirylUbvfgGrkZnkAhzGrkVafgfVaOngpu	True	OCG knobs (ctor_005)
0x21B80C0	SpeculativelyHoistTexMaxInstsBase	FcrphyngvirylUbvfgGrkZnkVafgfOnfr	True	OCG knobs (ctor_005)
0x21B80F0	SpeculativelyHoistTexMaxInsts	FcrphyngvirylUbvfgGrkZnkVafgf	True	OCG knobs (ctor_005)
0x21B8120	SpeculativelyHoistTexBudget	FcrphyngvirylUbvfgGrkOhqtrg	True	OCG knobs (ctor_005)
0x21B8150	SpeculativelyHoistTex	FcrphyngvirylUbvfgGrk	True	OCG knobs (ctor_005)
0x21B8180	SpeculativeHoistCommonInstsBudget	FcrphyngvirUbvfgPbzzbaVafgfOhqtrg	True	OCG knobs (ctor_005)
0x21B81B0	SpeculativeHoistCommonInsts	FcrphyngvirUbvfgPbzzbaVafgf	True	OCG knobs (ctor_005)
0x21B81E0	SpeculateCBAccess	FcrphyngrPONpprff	True	OCG knobs (ctor_005)
0x21B8200	SpecHoistTexProfiledBBExecCountRatioThreshold	FcrpUbvfgGrkCebsvyrqOORkrpPbhagEngvbGuerfubyq	True	OCG knobs (ctor_005)
0x21B8240	SpecHoistTexFormCompoundPred	FcrpUbvfgGrkSbezPbzcbhaqCerq	True	OCG knobs (ctor_005)
0x21B8270	SmemSpillEstimatedLat	FzrzFcvyyRfgvzngrqYng	True	OCG knobs (ctor_005)
0x21B8290	SkipCoalesceCanNotSpill	FxvcPbnyrfprPnaAbgFcvyy	True	OCG knobs (ctor_005)
0x21B82C0	SinkTexReadInstRatio	FvaxGrkErnqVafgEngvb	True	OCG knobs (ctor_005)
0x21B82E0	SinkTexMaxRegTargetScale	FvaxGrkZnkErtGnetrgFpnyr	True	OCG knobs (ctor_005)
0x21B8310	SinkTexLowRegTargetScale	FvaxGrkYbjErtGnetrgFpnyr	True	OCG knobs (ctor_005)
0x21B8340	SinkTexInstsToICacheRatio	FvaxGrkVafgfGbVPnpurEngvb	True	OCG knobs (ctor_005)
0x21B8370	SinkTexInstAcrossKill	FvaxGrkVafgNpebffXvyy	True	OCG knobs (ctor_005)
0x21B8390	SinkTexCacheUses	FvaxGrkPnpurHfrf	True	OCG knobs (ctor_005)
0x21B83B0	SinkRematPredPenaltyFactor	FvaxErzngCerqCranyglSnpgbe	True	OCG knobs (ctor_005)
0x21B83E0	SinkRematMultiRefXBlkUsesPenaltyFactor	FvaxErzngZhygvErsKOyxHfrfCranyglSnpgbe	True	OCG knobs (ctor_005)
