opcode_id	mnemonic	rot13	sm_gen	enc_category	isel_slot	ctor_verified	notes
207	ACQBLK	NPDOYX	sm_90	207	239	yes	
208	CGABAR_ARV	PTNONE_NEI	sm_90	208	154	yes	
209	CGABAR_GET	PTNONE_TRG	sm_90	209	0	yes	
210	CGABAR_SET	PTNONE_FRG	sm_90	210	195	yes	
211	CGABAR_WAIT	PTNONE_JNVG	sm_90	211	175	yes	
212	CGAERRBAR	PTNREEONE	sm_90	212	355	yes	
213	CREATEPOLICY	PERNGRCBYVPL	sm_90	213	355	yes	
214	CVTA	PIGN	sm_90	214	355	yes	
215	DMMA	QZZN	sm_90	215	355	yes	
216	ELECT	RYRPG	sm_90	216	355	yes	
217	ENDCOLLECTIVE	RAQPBYYRPGVIR	sm_90	217	309	yes	
218	FENCE_G	SRAPR_T	sm_90	218	170	yes	
219	FENCE_S	SRAPR_F	sm_90	219	355	yes	
220	FMNMX	SZAZK	sm_90	220	355	yes	
221	GMMA	TZZN	sm_90	221	0	yes	
222	LDCU	YQPH	sm_90	222	None	yes	
223	LEPC	YRCP	sm_90	223	None	yes	
224	MAPA	ZNCN	sm_90	224	None	yes	
225	PREEXIT	CERRKVG	sm_90	225	None	yes	
226	R2UR_H	E2HE_U	sm_90	226	None	yes	
227	REDAS	ERQNF	sm_90	227	None	yes	
228	SETMAXREG	FRGZNKERT	sm_90	228	None	yes	
229	SETSMEMSIZE	FRGFZRZFVMR	sm_90	229	None	yes	
230	STAS	FGNF	sm_90	230	None	yes	
231	STSM	FGFZ	sm_90	231	None	yes	
232	SYNCS_BASIC	FLAPF_ONFVP	sm_90	232	None	yes	
233	SYNCS_LD_UNIFM	FLAPF_YQ_HAVSZ	sm_90	233	None	yes	
234	UBLKCP	HOYXPC	sm_90	234	None	yes	
235	UBLKRED	HOYXERQ	sm_90	235	None	yes	
236	UBLKPF	HOYXCS	sm_90	236	None	yes	
237	UCVTA	HPIGN	sm_90	237	None	yes	
238	ULEPC	HYRCP	sm_90	238	None	yes	
239	UMAPA	HZNCN	sm_90	239	None	yes	
240	UTMACCTL	HGZNPPGY	sm_90	240	None	yes	
241	UTMACMDFLUSH	HGZNPZQSYHFU	sm_90	241	None	yes	
242	UTMALDG	HGZNYQT	sm_90	242	None	yes	
243	UTMAPF	HGZNCS	sm_90	243	None	yes	
244	UTMREDG	HGZERQT	sm_90	244	None	yes	
245	UTMALST	HGZNYFG	sm_90	245	None	yes	
246	VHMNMX	IUZAZK	sm_90	246	None	yes	
247	VIADD	IVNQQ	sm_90	247	None	yes	
248	VIADDMNMX	IVNQQZAZK	sm_90	248	None	yes	
249	VIMNMX	IVZAZK	sm_90	249	None	yes	
250	VIMNMX3	IVZAZK3	sm_90	250	None	yes	
251	WARPGROUP	JNECTEBHC	sm_90	251	None	yes	
252	SM90_LAST	FZ90_YNFG	sm_90	252	None	yes	sm-boundary-marker
253	SM100_FIRST	FZ100_SVEFG	sm_100	253	None	yes	sm-boundary-marker
254	CREDUX	PERQHK	sm_100	254	None	yes	
255	FADD2	SNQQ2	sm_100	255	None	yes	
256	FFMA2	SSZN2	sm_100	256	None	yes	
257	FMNMX3	SZAZK3	sm_100	257	None	yes	
258	FMUL2	SZHY2	sm_100	258	None	yes	
259	LDTM	YQGZ	sm_100	259	None	yes	
260	UGETNEXTWORKID	HTRGARKGJBEXVQ	sm_100	260	None	yes	
261	UTCBAR_1CTA	HGPONE_1PGN	sm_100	261	None	yes	
262	UTCBAR_2CTA	HGPONE_2PGN	sm_100	262	None	yes	
263	UTCCP_1CTA	HGPPC_1PGN	sm_100	263	None	yes	
264	UTCCP_2CTA	HGPPC_2PGN	sm_100	264	None	yes	
265	UTCMMA_1CTA	HGPZZN_1PGN	sm_100	265	None	yes	
266	UTCMMA_2CTA	HGPZZN_2PGN	sm_100	266	None	yes	
267	UTCSHIFT_1CTA	HGPFUVSG_1PGN	sm_100	267	None	yes	
268	UTCSHIFT_2CTA	HGPFUVSG_2PGN	sm_100	268	None	yes	
269	VIRTCOUNT	IVEGPBHAG	sm_100	269	None	yes	
270	TCATOMSWS	GPNGBZFJF	sm_100	270	None	yes	
271	TCLDSWS	GPYQFJF	sm_100	271	None	yes	
272	TCSTSWS	GPFGFJF	sm_100	272	None	yes	
273	QFMA4	DSZN4	sm_100	273	None	yes	
274	QADD4	DNQQ4	sm_100	274	None	yes	
275	QMUL4	DZHY4	sm_100	275	None	yes	
276	MEMSET	ZRZFRG	sm_100	276	None	yes	
277	ACQSHMINIT	NPDFUZVAVG	sm_100	277	None	yes	
278	STTM	FGGZ	sm_100	278	None	yes	
279	FENCE_T	SRAPR_G	sm_100	279	None	yes	
280	SM100_LAST	FZ100_YNFG	sm_100	280	None	yes	sm-boundary-marker
281	SM104_FIRST	FZ104_SVEFG	sm_104	281	None	yes	sm-boundary-marker
282	IADD	VNQQ	sm_104	282	None	yes	
283	UVIADD	HIVNQQ	sm_104	283	None	yes	
284	IMNMX	VZAZK	sm_104	284	None	yes	
285	IMNMX	VZAZK	sm_104	285	None	yes	
286	UIMNMX	HVZAZK	sm_104	286	None	yes	
287	UVIMNMX	HIVZAZK	sm_104	287	None	yes	
288	ISETP	VFRGC	sm_104	288	None	yes	
289	UISETP	HVFRGC	sm_104	289	None	yes	
290	MOV	ZBI	sm_104	290	None	yes	
291	UMOV	HZBI	sm_104	291	None	yes	
292	SEL	FRY	sm_104	292	None	yes	
293	USEL	HFRY	sm_104	293	None	yes	
294	UFADD	HSNQQ	sm_104	294	None	yes	
295	UFSEL	HSFRY	sm_104	295	None	yes	
296	UFFMA	HSSZN	sm_104	296	None	yes	
297	UFMUL	HSZHY	sm_104	297	None	yes	
298	UFSET	HSFRG	sm_104	298	None	yes	
299	UFSETP	HSFRGC	sm_104	299	None	yes	
300	UI2I	HV2V	sm_104	300	None	yes	
301	UI2IP	HV2VC	sm_104	301	None	yes	
302	UF2F	HS2S	sm_104	302	None	yes	
303	UFRND	HSEAQ	sm_104	303	None	yes	
304	UF2I	HS2V	sm_104	304	None	yes	
305	UF2IP	HS2VC	sm_104	305	None	yes	
306	UI2F	HV2S	sm_104	306	None	yes	
307	UI2FP	HV2SC	sm_104	307	None	yes	
308	UIABS	HVNOF	sm_104	308	None	yes	
309	CS2UR	PF2HE	sm_104	309	None	yes	
310	UF2FP	HS2SC	sm_104	310	None	yes	
311	MXQMMA_SF_16832	ZKDZZN_FS_16832	sm_104	311	None	yes	
312	OMMA_16864	BZZN_16864	sm_104	312	None	yes	
313	OMMA_SP_168128	BZZN_FC_168128	sm_104	313	None	yes	
314	QMMA_16816	DZZN_16816	sm_104	314	None	yes	
315	QMMA_16832	DZZN_16832	sm_104	315	None	yes	
316	QMMA_SP_16832	DZZN_FC_16832	sm_104	316	None	yes	
317	QMMA_SP_12864	DZZN_FC_12864	sm_104	317	None	yes	
318	QMMA_SF_16832	DZZN_FS_16832	sm_104	318	None	yes	
319	QMMA_SF_SP_16864	DZZN_FS_FC_16864	sm_104	319	None	yes	
320	SM104_LAST	FZ104_YNFG	sm_104	320	None	yes	sm-boundary-marker
321	LAST	YNFG	sentinel	321	None	yes	sm-boundary-marker
