# ptxas static scheduling-class descriptor table  (.rodata VMA 0x2297C00)
# 256 classes, 72-byte stride; binary-derived (CUDA 13.0.88)
# columns: class  pipeA(hex)  pipeB(hex)  p0..p11
 155  1212ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 155 3 1 1 0
 156  1313ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 156 3 1 1 0
 157  1212ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 157 3 1 1 0
 158  1111ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 158 3 1 1 0
 159  1212ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 159 3 1 1 0
 160  1313ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 160 3 1 1 0
 161  1111ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 161 3 1 1 0
 162  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 162 0 1 1 0
 166  0707010103ff0303  0000ffffffff0000  256 0 39 4 19 3 2 166 0 1 1 0
 167  0707010103ff0303  0000ffffffff0000  393472 0 39 4 19 3 2 167 0 1 1 0
 168  0707010103ff0303  0000ffffffff0000  256 0 39 4 19 3 2 168 0 1 1 0
 169  0707010103ff0303  0000ffffffff0000  393472 0 39 4 19 3 2 169 0 1 1 0
 170  04040202ffff0101  0000ffffffff0000  0 4 14 1 3 7 3 170 1 2 3 0
 171  0404ffffffffffff  0000ffffffff0000  0 4 1 1 3 7 3 171 1 2 3 0
 172  0404ffffffffffff  0000ffffffff0000  0 4 1 1 3 7 3 172 1 2 3 0
 173  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 173 0 1 1 0
 174  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 174 0 1 1 0
 175  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 175 0 1 1 0
 179  ffff0000ffff0101  00000000ffff0000  0 1 5 1 6 7 3 179 1 2 2 0
 180  ffffffffffff0101  0000ffffffff0000  4194304 1 5 1 6 7 3 180 1 2 2 0
 181  0101ffffffff0101  0000ffffffff0000  134217728 1 5 1 0 7 3 181 1 2 3 0
 182  ffff0000ffff0101  0000ffffffff0000  0 1 5 1 6 7 3 182 1 2 2 0
 183  ffffffffffff0101  0000ffffffff0000  0 0 5 1 6 7 3 183 1 2 1 0
 184  04040202ffff0101  0000ffffffff0000  0 4 2 3 3 7 3 184 1 2 3 0
 185  0303020204ffffff  0000ffffffff0000  1024 4 33 2 0 7 3 185 1 2 3 0
 187  04040202ffff0101  0000ffffffff0000  0 4 2 3 3 7 3 187 1 2 3 0
 188  ffffffffffffffff  0000ffffffff0000  0 4 16 0 3 7 3 188 1 2 3 0
 190  04040202ffff0101  0000ffffffff0000  0 4 2 3 3 7 3 190 1 2 3 0
 191  04040202ffffffff  0000ffffffff0000  0 4 2 3 3 7 3 191 1 2 3 0
 192  04040202ffffffff  0000ffffffff0000  0 4 1 1 3 7 3 192 1 2 3 0
 193  04040202ffffffff  0000ffffffff0000  0 4 1 1 3 7 3 193 1 2 3 0
 196  04040202ffffffff  0000ffffffff0000  0 4 1 1 3 7 3 196 1 2 3 0
 197  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 197 0 1 1 0
 198  0505ffffffffffff  0000ffffffff0000  0 0 39 4 19 7 3 198 0 1 1 0
 199  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 199 0 1 1 0
 200  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 200 0 1 1 0
 201  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 201 0 1 1 0
 202  0303ffffffff0101  0000ffffffff0000  0 4 33 2 3 7 3 202 1 2 3 0
 203  ffffffffffffffff  0000ffffffff0000  276828160 4 33 2 5 7 3 203 1 2 1 0
 526  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 526 0 1 1 0
 530  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 530 0 1 1 0
 532  0404ffffffffffff  0000ffffffff0000  0 4 1 1 3 7 3 532 1 2 3 0
 533  0303020204ffffff  0000ffffffff0000  1024 4 36 1 12 7 3 533 1 2 3 0
 540  0101000004ff0101  0000ffffffff0000  1024 1 5 1 6 7 3 540 1 2 3 0
 541  0101000004ff0101  0000ffffffff0000  1024 1 5 1 0 7 3 541 1 2 3 0
 542  0101000004ff0101  0000ffffffff0000  268436480 4 33 2 6 7 3 542 1 2 3 0
 543  0101000004ff0101  0000ffffffff0000  268436480 4 33 2 0 7 3 543 1 2 3 0
 544  ffffffffffffffff  0000ffffffff0000  8 0 39 4 19 7 3 544 0 2 2 0
 547  04040202ffffffff  0000ffffffff0000  0 4 1 1 3 7 3 547 1 2 3 0
 548  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 548 1 2 3 0
 549  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 549 0 1 1 0
 550  0404ffffffff0101  0000ffffffff0000  0 4 1 1 3 7 3 550 1 2 3 0
 551  0000010103ff0000  00000101ffff0000  256 0 39 4 19 3 2 551 0 1 1 0
 552  ffffffffffff0202  0000ffffffff0000  8 0 39 4 19 7 3 552 0 2 2 0
 553  0303020204ffffff  0000ffffffff0000  1024 4 36 1 12 7 3 553 1 2 3 0
 555  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 555 0 1 1 0
 556  0000010103ff0000  00000101ffff0000  256 0 39 4 19 3 2 556 0 1 1 0
 561  1212010104ffffff  00000303ffff0000  1024 0 39 4 19 5 1 561 0 1 1 0
 562  1212010104ffffff  00000303ffff0000  1024 0 39 4 19 5 1 562 0 1 1 0
 563  1313010104ffffff  00000303ffff0000  1024 0 39 4 19 5 1 563 0 1 1 0
 566  1212010104ffffff  00000303ffff0000  1024 0 39 4 19 5 1 566 0 1 1 0
 567  1313010104ffffff  00000303ffff0000  1024 0 39 4 19 5 1 567 0 1 1 0
 569  04040202ffff0101  0000ffffffff0000  0 4 1 1 3 7 3 569 1 2 3 0
 570  0404ffffffffffff  0000ffffffff0000  268435456 4 4 1 3 7 3 570 1 2 1 0
 571  0000010103ff0606  0000ffffffff0000  536871168 0 39 4 19 3 2 571 0 1 1 0
 572  03030404ffff0101  0000ffffffff0000  0 132 22 1 0 7 3 572 1 2 3 0
 573  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 573 1 2 3 0
 576  03030404ffffffff  0000ffffffff0000  0 132 20 1 0 7 3 576 1 2 3 0
 577  01010000ffff0101  0000ffffffff0000  134217728 1 5 1 0 7 3 577 1 2 3 0
 578  0505030303ffffff  0000ffffffff0000  8388864 2 39 4 19 7 3 578 0 1 1 0
 579  0000010103ffffff  0000ffffffff0000  8388864 2 39 4 19 3 2 579 0 1 1 0
 580  0000ffff03ffffff  0000ffffffff0000  2147483904 0 39 4 19 3 2 580 0 1 1 0
 581  0505030303ffffff  0000ffffffff0000  8388864 2 39 4 19 7 3 581 0 1 1 0
 582  ffffffffffffffff  0000ffffffff0000  67108864 0 5 1 6 7 3 582 1 2 1 0
 583  0404ffffffffffff  0000ffffffff0000  0 4 33 2 1 7 3 583 1 2 3 0
 584  ffff0404ffffffff  ffffffff00000000  0 132 22 1 0 7 3 584 1 2 3 0
 585  0000ffffffffffff  0000ffffffff0000  0 0 39 4 19 3 2 585 0 1 1 0
 586  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 586 0 1 1 0
 590  0303ffffffffffff  0000ffffffff0000  335544320 4 0 1 0 7 3 590 1 2 1 0
 591  0303ffffffffffff  0000ffffffff0000  335544320 4 0 1 0 7 3 591 1 2 3 0
 592  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 592 0 1 1 0
 593  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 593 0 1 1 0
 594  0404ffffffff0101  0000ffffffff0000  0 4 1 1 3 7 3 594 1 2 3 0
 595  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 595 0 1 1 0
 596  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 596 0 1 1 0
 598  0000ffffffffffff  0000ffffffff0000  0 0 39 4 19 3 2 598 0 1 1 0
 599  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 599 1 2 3 0
 601  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 601 1 2 3 0
 602  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 602 1 2 3 0
 603  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 603 1 2 3 0
 607  03030202ffff0101  0000ffffffff0000  0 4 23 1 14 7 3 607 1 2 3 0
 608  03030202ffff0101  0000ffffffff0000  0 4 28 1 14 7 3 608 1 2 3 0
 609  03030202ffff0101  0000ffffffff0000  0 4 28 1 14 7 3 609 1 2 3 0
 610  03030202ffffffff  0000ffffffff0000  268435456 4 24 1 14 7 3 610 1 2 3 0
 611  03030202ffffffff  0000ffffffff0000  268435456 4 24 1 14 7 3 611 1 2 3 0
 623  03030202ffff0101  0000ffffffff0000  0 4 28 1 14 7 3 623 1 2 3 0
 624  03030202ffff0101  0000ffffffff0000  0 4 28 1 14 7 3 624 1 2 3 0
 625  03030202ffff0101  0000ffffffff0000  0 4 28 1 14 7 3 625 1 2 3 0
 626  03030202ffffffff  0000ffffffff0000  0 4 28 1 14 7 3 626 1 2 3 0
 627  ffffffffffffffff  0000ffffffff0000  0 0 32 3 17 7 3 627 1 2 1 0
 628  ffffffffffff0101  0000ffffffff0000  1209016320 4 32 3 17 7 3 628 1 2 1 0
 629  ffffffffffffffff  0000ffffffff0000  1073750016 0 32 3 17 7 3 629 1 2 1 0
 630  0303ffffffff0101  0000ffffffff0000  1207967744 4 32 3 17 7 3 630 1 2 1 0
 631  0303ffffffff0101  0000ffffffff0000  1209016320 4 32 3 17 7 3 631 1 2 1 0
