table	id	severity_code	severity	message	source
main	188	5	error	Indirect access to texture requires .u64 type	plaintext
main	189	5	error	Instruction or declaration violates .target texmode_%s setting	plaintext
main	190	5	error	Argument %d of instruction '%s': value of mask should be between 1 and 127	plaintext
main	191	5	error	Argument %d of instruction '%s': vector size should be equal to number of bits set in mask	plaintext
main	192	5	error	Argument %d of instruction '%s': duplicate elements are not allowed in destination vector	plaintext
main	193	5	error	Argument %d of instruction '%s': .samplerref or .u64 register expected	plaintext
main	194	5	error	Argument %d of instruction '%s': .surfref or .u64 register expected	plaintext
main	195	5	error	Argument %d of instruction '%s': .texref or .u64 register expected	plaintext
main	196	5	error	Argument %d of instruction '%s': .samplerref expected	plaintext
main	197	5	error	Argument %d of instruction '%s': must be register	plaintext
main	198	5	error	Result register required for instruction '%s'	plaintext
main	199	5	error	Instruction '%s' requires .u32 or .u64 type	plaintext
main	200	5	error	Instruction '%s' requires '%s' type with '%s' modifier.	plaintext
main	201	5	error	Instruction '%s' requires '%s' type	plaintext
main	202	5	error	Incorrect type '%s' for operation '%s' in instruction '%s'	plaintext
main	203	5	error	Operation requires .pred type	plaintext
main	204	5	error	Operation requires .u32 type	plaintext
main	205	5	error	Operation %s requires %s type for instruction '%s'	plaintext
main	206	5	error	Illegal operation '%s' for instruction '%s'	plaintext
main	207	5	error	Reduction operation is required for instruction '%s'	plaintext
main	208	5	error	Illegal reduction operation for instruction '%s%s%s'	plaintext
main	209	5	error	Boolean operation is required for instruction '%s'	plaintext
main	210	5	error	Comparison qualifier is not allowed for instruction '%s'	plaintext
main	211	5	error	Mismatch between instruction type and comparison qualifier	plaintext
main	212	5	error	Vector qualifier is not allowed for instruction '%s'	plaintext
main	213	5	error	Illegal argument to predicate negation	plaintext
main	214	5	error	Illegal argument to unary minus	plaintext
main	215	5	error	Operand negation limited to either (source A xor source B) or source C	plaintext
main	216	5	error	Illegal combination of .sat and .add modifiers	plaintext
main	217	5	error	Illegal secondary operation for video instruction '%s'	plaintext
main	218	5	error	Video selector is not allowed on 'source C' operand	plaintext
main	219	5	error	Video selector is not allowed on source operand for instruction '%s'	plaintext
main	220	5	error	Video selector is not allowed on destination for instruction '%s'	plaintext
main	221	5	error	Video instruction cannot have destination selector and secondary operation	plaintext
main	222	5	error	Unexpected Byte/Word selector when '%s' and '%s'	plaintext
main	223	5	error	Incompatible Byte/Word selector when '%s' and '%s'	plaintext
main	224	5	error	Byte/Word selector is required for operand %d of instruction '%s'	plaintext
main	225	5	error	Argument %d of instruction '%s': Argument vector size mismatch	plaintext
main	226	5	error	Argument %d of instruction '%s': incompatible Byte/word selector when '%s' and '%s'	plaintext
main	227	5	error	Byte selector is required for operand %d of instruction '%s'	plaintext
main	228	5	error	Incorrect byte selector for operand %d of instruction '%s'	plaintext
main	229	5	error	Incorrect video selector for operand %d	plaintext
main	230	5	error	Unknown video selector: '%s'	plaintext
main	231	5	error	Unknown vector selector: '%c'	plaintext
main	232	5	error	Conflicting use of '.po' modifier with operand negation	plaintext
main	233	5	error	Multiple instruction post-operation flags set	plaintext
main	234	5	error	Multiple comparisons set	plaintext
main	235	5	error	Illegal vector-vector operands for vector-scalar or scalar-vector mov instruction	plaintext
main	236	5	error	Vector operand is not allowed for instruction '%s'	plaintext
main	237	5	error	Argument vector size mismatch for instruction '%s'	plaintext
main	238	5	error	Vector of size %d is expected for argument %d of instruction '%s'	plaintext
main	239	5	error	Vector is not expected for argument %d of instruction '%s'	plaintext
main	240	5	error	Vector expected for argument %d	plaintext
main	241	5	error	Result vector expected	plaintext
main	242	5	error	Predicate expression expected	plaintext
main	243	5	error	Modifier '.cc' applies only to %s integer types	plaintext
main	244	5	error	Modifier '.sat' does not apply to '%s' type	plaintext
main	245	5	error	Modifier '.ftz' does not apply to this type of convert operation	plaintext
main	246	5	error	%s modifier required for instruction '%s' with modifier '%s'	plaintext
main	247	5	error	Modifier '%s' required for instruction '%s' with type '%s' and operation '%s'	plaintext
main	248	5	error	'%s' modifier required for instruction '%s' with destination type '%s'	plaintext
main	249	5	error	'%s' modifier required for instruction '%s' with type '%s'	plaintext
main	250	5	error	%s modifier required for instruction '%s' with %d arguments	plaintext
main	251	5	error	%s modifier required for instruction '%s%s%s%s'	plaintext
main	252	5	error	%s modifier required for instruction '%s'	plaintext
main	253	5	error	Illegal cache operation for instruction 'ld.nc'	plaintext
main	254	5	error	Modifier '.nc' requires .global space	plaintext
main	255	5	error	Modifier '%s' requires modifier '%s' for instruction '%s'	plaintext
main	256	5	error	Modifier '%s' requires modifier '%s'	plaintext
main	257	5	error	Modifier '%s' requires %s with '%s' instruction	plaintext
main	258	5	error	Modifier '%s' cannot be combined with modifier '%s'	plaintext
main	259	5	error	Modifier '%s' cannot be applied to '%s' space for instruction '%s'	plaintext
main	260	5	error	Modifier '%s' cannot be applied to '%s' space	plaintext
main	261	5	error	Predicate output expected for instruction '%s'	plaintext
main	262	5	error	Predicate output not allowed for instruction '%s'	plaintext
main	263	5	error	Illegal instruction types specified for '%s' with shape '%s'	plaintext
main	264	5	error	Not a name of any known instruction: '%s'	plaintext
main	265	5	error	Unexpected number of arguments specified for %s with '%s'	plaintext
